Id;Material_id;Dosaje;Ref;Material;Unidad
11;57;0,06;ma;cemento Portland x 50kg;bolsas
11;24;0,006;ma;arena gruesa lavada;m3
11;209;1,9;mo;oficial;h
11;27;1,2;mo;ayudante;h
12;0;0;_;_;_
12;56;0,2;ma;cemento blanco;kg
12;4;3,5;ma;adhesivo p/piso cerámico;kg
12;30;1,05;ma;azulejo 15x15 blanco;m2
12;209;1,2;mo;oficial;h
12;27;0,4;mo;ayudante;h
13;0;0;_;_;_
13;56;0,2;ma;cemento blanco;kg
13;57;0,08;ma;cemento Portland x 50kg;bolsas
13;25;0,01;ma;arena gruesa;m3
13;46;0,04;ma;cal hidratada en bolsa;bolsas
13;30;1,05;ma;azulejo 15x15 blanco;m2
13;209;1,6;mo;oficial;h
13;27;0,6;mo;ayudante;h
14;0;0;_;_;_
14;36;1;ma;barandas de madera;ml
14;209;2,5;mo;oficial;h
14;27;2,5;mo;ayudante;h
1;0;0;_;_;_
1;57;0,44;ma;cemento Portland x 50kg;bolsas
1;203;1,3;ma;membrana c/aluminio 4 mm espesor;m2
1;121;0,1;ma;gas envasado x 10 kg;kg
1;24;0,06;ma;arena gruesa lavada;m3
1;264;0,1;ma;ripio;m3
1;46;0,16;ma;cal hidratada en bolsa;bolsas
1;233;0,3;ma;pintura asfáltica base acuosa (Ormiflex1 o similar);lts
1;209;1;mo;oficial;h
2;0;0;_;_;_
2;70;1;ma;cinta Isolant p/unión;ml
2;201;1,1;ma;membrana b/tejas c/aislac. térmica TBA10;m2
2;209;0,1;mo;oficial;h
2;27;0,1;mo;ayudante;h
3;0;0;_;_;_
3;70;1;ma;cinta Isolant p/unión;ml
3;202;1,1;ma;membrana b/tejas c/aislac. térmica TBA5;m2
3;209;0,1;mo;oficial;h
3;27;0,1;mo;ayudante;h
4;0;0;_;_;_
4;15;0,1;ma;alambre galvaniz. fino;kg
4;370;1;ma;"lana de vidrio de 2""";ml
1;27;1,2;mo;ayudante;h
4;209;0,2;mo;oficial;h
4;27;0,2;mo;ayudante;h
5;0;0;_;_;_
5;255;1;ma;poliestireno expandido 20 mm;m2
5;209;0,2;mo;oficial;h
5;27;0,1;mo;ayudante;h
6;0;0;_;_;_
6;139;0,15;ma;hidrófugo x litro;lts
6;57;0,2;ma;cemento Portland x 50kg;bolsas
6;46;0,16;ma;cal hidratada en bolsa;bolsas
6;24;0,12;ma;arena gruesa lavada;m3
6;34;1,1;ma;baldosa roja 20x20 tipo azotea;m2
6;209;3;mo;oficial;h
6;27;0,8;mo;ayudante;h
7;0;0;_;_;_
7;57;0,24;ma;cemento Portland x 50kg;bolsas
7;139;0,15;ma;hidrófugo x litro;lts
7;24;0,05;ma;arena gruesa lavada;m3
7;209;2;mo;oficial;h
7;27;1;mo;ayudante;h
8;0;0;_;_;_
8;46;0,16;ma;cal hidratada en bolsa;bolsas
8;57;0,3;ma;cemento Portland x 50kg;bolsas
8;24;0,06;ma;arena gruesa lavada;m3
8;139;0,15;ma;hidrófugo x litro;lts
8;161;0,06;ma;ladrillo común;u
8;209;6,3;mo;oficial;h
8;27;3,3;mo;ayudante;h
9;0;0;_;_;_
9;57;0,08;ma;cemento Portland x 50kg;bolsas
9;46;0,2;ma;cal hidratada en bolsa;bolsas
9;24;0,03;ma;arena gruesa lavada;m3
9;209;1,3;mo;oficial;h
